time,Pan Position,Tilt Position,Pan Velocity,Tilt Velocity
4.640434986,,-3.133850098,-14.22059917,
4.65964925,-2.997207642,-3.207321167,-14.14799976,
4.681769584,-3.29246521,-3.288345337,-14.10899925,-3.77519989
4.699840819,-3.565063477,-3.358383179,-14.0033989,-3.751799822
4.721440773,-3.841094971,-3.433227539,-13.97099972,-3.604199886
4.740429151,-4.121932983,-3.503265381,-14.03219891,-3.617999792
4.761310477,-4.406890869,-3.573303223,-14.13959885,-3.620399714
4.780482898,-4.680862427,-3.64402771,-14.10239887,-3.695999861
,-4.967880249,-3.719558716,-14.06219959,-3.707399845
4.820691879,-5.252838135,-3.79234314,-14.03399944,-3.617399931
,-5.532302856,-3.862380981,-13.98839951,-3.599999905
4.859724821,-5.808334351,-3.932418823,-13.94819927,-3.508799791
4.880339089,-6.092605591,-4.003143311,-14.02799892,-3.58619976
4.900567708,-6.380996704,-4.077987671,-14.04419899,-3.668399811
4.920465642,-6.656341553,-4.152832031,,-3.682199717
4.940765425,-6.93649292,-4.230422974,-13.92359924,-3.763799906
4.960377259,-7.20085144,-4.302520752,-13.85519886,-3.676199913
4.980939942,-7.480316162,-4.377365112,-13.854599,-3.608999729
,-7.765960693,,-13.83479977,-3.616799831
5.021074325,-8.042678833,-4.52293396,,-3.603599787
5.040414015,-8.323516846,-4.594345093,,-3.679799795
5.060281751,-8.602294922,0.0,-13.85879898,-3.594599724
5.081447202,-8.881072998,-4.737854004,-13.79639912,-3.544199944
5.109507153,-9.258728027,0.0,-13.66139889,-3.402599812
5.127217877,-9.479827881,-4.887542725,-13.65239906,
5.141204554,,-4.939727783,-13.73339939,-3.452399731
5.160072114,-9.961166382,-5.012512207,-13.70219898,-3.517199755
5.180770134,0.0,-5.080490112,-13.58039951,-3.48059988
5.200927982,-10.51048279,-5.148468018,-13.49279976,-3.491399765
5.220848488,-10.78170776,-5.217132568,-13.46519947,-3.430199862
5.241247432,-11.04400635,-5.287857056,-13.32599926,-3.394199848
5.260264708,-11.304245,-5.351715088,,-3.42599988
5.28055176,0.0,-5.42175293,-13.39619923,-3.454799891
5.303483307,-11.83776855,-5.494537354,-13.40159893,-3.560399771
5.333762676,-12.24357605,-5.598220825,-13.16759968,-3.529799938
5.347376855,-12.44407654,-5.653152466,-13.09439945,-3.486599922
5.366721336,-12.67341614,-5.712890625,-13.03739929,-3.436199903
5.386235707,-12.93228149,-5.78086853,-12.90239906,-3.392999887
5.402026658,-13.14445496,-5.837860107,-12.92039967,-3.394199848
5.425207088,-13.39164734,-5.907211304,-12.90059948,
5.440672666,-13.63952637,-5.977935791,-12.80099964,-3.489599943
5.464427516,-13.93684387,-6.05758667,-12.61859894,
5.482539235,-14.16549683,-6.115951538,-12.56699944,
5.500291512,-14.38110352,-6.173629761,-12.32219982,-3.220199823
5.521416343,-14.62348938,-6.235427856,-12.16859913,-3.15899992
5.540390861,-14.85351563,-6.298599243,-11.8739996,-3.203399897
5.56307184,-15.09727478,-6.363143921,-11.37359905,-3.116999865
5.580361149,,-6.415328979,-11.00759983,-3.027599812
5.600156494,-15.49552917,-6.472320557,-10.61699963,-2.949599743
5.620352151,-15.70495605,-6.527252197,-10.39319992,-2.872799873
5.641002746,-15.90065002,-6.581497192,-10.18259907,-2.802599907
5.660152006,-16.07162476,-6.628189087,-9.622199059,-2.597999811
5.680973964,-16.23710632,-6.676254272,-9.12899971,
5.700219491,,-6.719512939,-8.78579998,-2.396399975
5.719980382,-16.56463623,-6.764831543,-8.551799774,-2.284199953
5.740910251,-16.73217773,-6.810150146,-8.415599823,
5.767785395,-16.92649841,-6.863708496,-8.121599197,-2.192399979
5.780166184,-17.03567505,-6.890487671,-7.719599724,-2.076599836
5.806920535,-17.21557617,,,-1.919399858
5.819999188,-17.31376648,-6.960525513,-7.016999722,
5.840658543,-17.45315552,-6.990737915,,-1.714799881
5.860179173,-17.58018494,-7.026443481,-6.610199451,-1.68599987
5.884995236,-17.69966125,-7.055969238,-6.284999847,-1.585199952
5.899964976,-17.80952454,,-5.927999496,-1.494599938
5.920556691,-17.91526794,-7.108840942,-5.596199512,-1.47299993
5.940252197,-18.01826477,,-5.396999836,-1.432799935
5.96072534,,0.0,,-1.41779995
5.980170202,-18.21876526,-7.19329834,-5.075999737,-1.408199906
6.000186757,-18.31008911,,,-1.322999954
6.020756342,-18.39729309,-7.241363525,-4.632599831,-1.243199944
6.044946965,-18.4954834,-7.2681427,-4.346999645,-1.162199974
6.060982997,-18.55659485,-7.284622192,-4.212599754,-1.111199975
6.080362279,-18.63212585,-7.305908203,-4.061999798,-1.0704
6.10020351,-18.70697021,,-3.876599789,-1.007399917
6.127447107,0.0,-7.345733643,0.0,-0.926999927
6.140100894,-18.84635925,-7.356033325,-3.600599766,-0.847199976
6.160215683,-18.91365051,-7.371139526,-3.524399757,-0.832199931
6.180841904,-18.98094177,-7.387619019,-3.424799919,-0.835799932
6.200240195,-19.04136658,-7.40272522,-3.256799936,
6.220461303,,-7.417144775,0.0,-0.752999961
6.240761217,-19.15740967,-7.429504395,-2.963399887,-0.704999983
6.260207102,,,-2.893799782,-0.692999959
6.285103153,-19.27139282,-7.456970215,-2.78159976,-0.706199944
6.300195499,-19.32151794,,0.0,-0.719399989
6.320799029,-19.37301636,-7.48374939,-2.644799948,-0.679199994
6.340820547,-19.42245483,-7.496795654,-2.54219985,-0.622199953
6.360351288,-19.46846008,-7.5050354,-2.38319993,
,-19.51583862,-7.51739502,-2.384399891,-0.571199954
6.400809275,,-7.531814575,-2.307599783,-0.629999995
6.420478086,-19.60029602,-7.542800903,-2.198399782,-0.631799996
6.440178703,-19.63874817,-7.557220459,-2.039399862,
6.45990405,-19.67720032,-7.565460205,-1.969199896,-0.56039995
6.480835545,-19.71427917,,-1.882799864,
6.500701093,-19.74861145,-7.584686279,-1.771199942,
6.520335617,0.0,-7.592926025,-1.698599935,-0.490799963
6.540822995,-19.81590271,-7.603912354,-1.682999969,-0.48299998
6.560699233,-19.84336853,-7.613525391,-1.575599909,-0.493199974
6.581607661,-19.87358093,-7.622451782,,-0.477599978
,-19.89692688,-7.627944946,-1.320599914,-0.394799978
6.620624294,,-7.636184692,-1.238999963,
6.641628891,-19.94224548,-7.640304565,-1.245599985,0.0
6.660127231,,-7.644424438,-1.126199961,-0.251399994
6.683520137,-19.98275757,,-0.991799951,-0.236399993
,-19.99923706,-7.651290894,,-0.217799991
6.720837914,-20.0164032,-7.655410767,-0.878999949,-0.194999993
6.740384197,-20.03013611,-7.658843994,-0.811799943,-0.176399991
6.760074385,,-7.663650513,-0.693599939,-0.186599985
6.780793775,-20.05004883,-7.667770386,-0.583199978,-0.18599999
,-20.05760193,-7.669830322,-0.510599971,-0.155399993
6.820118307,-20.06721497,-7.671890259,-0.453599989,-0.14819999
6.860916141,-20.08300781,-7.676696777,-0.436199993,-0.116999991
6.885482559,-20.09262085,-7.679443359,-0.357599974,-0.107999995
6.900134654,-20.09605408,-7.678756714,,
6.920038853,-20.09880066,-7.68081665,0.0,-0.077999994
6.940534968,-20.0994873,-7.682189941,-0.161999986,-0.064199999
6.960416479,,-7.682189941,-0.109199993,0.0
,-20.10017395,-7.683563232,-0.058199998,-0.034199998
7.001130086,-20.1008606,-7.683563232,-0.0396,-0.0288
7.021511928,-20.10154724,-7.683563232,-0.040799998,
7.040252881,-20.1008606,-7.684249878,-0.0222,-0.0144
7.060612858,,-7.684249878,-0.0222,-0.0078
,-20.10154724,-7.683563232,-0.011999999,-0.0156
7.100533417,-20.10429382,-7.684249878,,-0.0084
7.12027067,-20.10223389,-7.683563232,-0.0078,
